id,type_of_contract,type_of_contract2,channel,datetime,Term,payment_type,product,amount,state,overdue_count,overdue,credit rating,bank,cancellation,age,Mileage
66751017,렌탈,Package,홈쇼핑/방송,2019-10-20,60,카드이체,K2,80400,계약확정,0,없음,1.0,롯데카드,정상,46.484626451308884,
66758336,렌탈,Promotion,전자랜드,2019-10-20,60,CMS,K1,111900,계약확정,0,없음,9.0,농협은행,정상,46.72104029339155,
66758074,렌탈,Normal,서비스 방문,2019-10-20,60,CMS,K2,87900,계약확정,0,없음,1.0,국민은행,정상,46.47552953384489,
66127796,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,1.0,우리은행,정상,46.471890766859296,
66757967,렌탈,Promotion,서비스 방문,2019-10-21,60,카드이체,K1,105900,계약확정,0,없음,5.0,롯데카드,정상,46.59100737964703,
66758704,렌탈,Promotion,홈플러스,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,6.0,우리은행,정상,46.63625129253275,
66758771,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,1.0,농협은행,정상,46.464613232888105,
66420849,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,3.0,외환은행,정상,46.540545990717156,
66758456,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,4.0,우리은행,정상,46.567596068674895,
66758799,렌탈,Package,홈쇼핑/방송,2019-10-21,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.48280706781609,
66758781,렌탈,Promotion,일반,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,1.0,신한은행,정상,46.464613232888105,
66423638,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,해약확정,0,없음,4.0,농협은행,해약,47.061484211079254,
66758700,렌탈,Extension_Rental,서비스 방문,2019-10-21,60,카드이체,K1,102900,계약확정,0,없음,2.0,국민카드,정상,46.491663310845844,
66757914,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,5.0,기업은행,정상,46.59100737964703,
66753891,렌탈,Package,R인터넷,2019-10-21,60,카드이체,K2,89400,계약확정,0,없음,4.0,롯데카드,정상,46.57669298613888,
66383798,렌탈,Promotion,일반,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,2.0,농협은행,정상,46.48802454386025,
66227000,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,계약확정,0,없음,7.0,국민은행,정상,47.16446704686604,
66758757,렌탈,Package,홈쇼핑/인터넷,2019-10-21,60,카드이체,K2,81900,계약확정,0,없음,1.0,국민카드,정상,46.48280706781609,
66366766,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,5.0,농협은행,정상,46.609201214575016,
66218027,렌탈,Package,홈쇼핑/방송,2019-10-21,60,CMS,K2,81900,계약확정,0,없음,1.0,농협은행,정상,46.48280706781609,
66756495,렌탈,Promotion,영업방판,2019-10-21,60,CMS,K1,142200,계약확정,0,없음,4.0,농협은행,정상,46.51265068719239,
66423006,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,해약확정,0,없음,5.0,국민은행,해약,47.095811823008184,
66754145,렌탈,Normal,서비스 방문,2019-10-21,60,CMS,K2,87900,계약확정,0,없음,2.0,우체국,정상,46.50985714577382,
66758687,렌탈,Package,홈쇼핑/방송,2019-10-21,60,CMS,K2,81900,계약확정,0,없음,7.0,농협은행,정상,46.68877273938966,
66758556,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K1,105900,계약확정,0,없음,1.0,전북은행,정상,46.45369693193132,
66758857,렌탈,Promotion,전자랜드,2019-10-21,60,카드이체,K1,96900,계약확정,0,없음,4.0,롯데카드,정상,46.567596068674895,
66549437,렌탈,Promotion,일반,2019-10-21,60,카드이체,K1,96900,계약확정,0,없음,3.0,롯데카드,정상,46.533268456745965,
66754005,렌탈,Normal,일반,2019-10-21,60,CMS,K1,96900,계약확정,0,없음,8.0,국민은행,정상,46.70490651639061,
66758845,렌탈,Promotion,서비스 방문,2019-10-21,60,CMS,K2,90900,계약확정,0,없음,4.0,신한은행,정상,46.574873602646086,
66758335,렌탈,Normal,서비스 방문,2019-10-21,36,CMS,K2,102900,계약확정,0,없음,5.0,농협은행,정상,46.82339638290683,
66423473,멤버십,TAS,렌탈재계약,2019-10-21,12,CMS,K1,66900,계약확정,0,없음,6.0,국민은행,정상,47.13013943493711,
66758744,렌탈,Package,홈쇼핑/방송,2019-10-21,60,카드이체,K1,81900,계약확정,0,없음,4.0,국민카드,정상,46.58578990360287,
66318205,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,카드이체,K1,102900,계약확정,0,없음,6.0,BC카드,정상,46.62897375856156,
66758459,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,6.0,농협은행,정상,46.63625129253275,
66758490,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,CMS,K1,96900,계약확정,1,있음,8.0,새마을금고,정상,46.61477652931823,
66643291,렌탈,Promotion,서비스 방문,2019-10-22,60,카드이체,K3,90900,계약확정,0,없음,4.0,롯데카드,정상,46.574873602646086,
66759136,렌탈,Promotion,전자랜드,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,4.0,신한은행,정상,46.567596068674895,
66748351,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,98400,계약확정,0,없음,5.0,롯데카드,정상,46.600104297111024,
66759515,렌탈,Normal,홈쇼핑/방송,2019-10-22,60,카드이체,K1,96900,계약확정,0,없음,4.0,롯데카드,정상,46.567596068674895,
66759193,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K3,90900,계약확정,0,없음,4.0,국민은행,정상,46.574873602646086,
66759001,렌탈,Promotion,R인터넷,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,1.0,광주은행,정상,46.464613232888105,
66758926,렌탈,Normal,렌탈총판,2019-10-22,60,CMS,K1,108900,계약확정,0,없음,4.0,새마을금고,정상,46.553041000732506,
66423882,멤버십,TAS,렌탈재계약,2019-10-22,12,CMS,K1,66900,계약확정,0,없음,2.0,농협은행,정상,46.992828987221394,
66862854,렌탈,Package,서비스 방문,2019-10-22,60,CMS,K1,98400,해약확정,0,없음,5.0,신한은행,해약,46.600104297111024,
66759262,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,81900,계약확정,0,없음,6.0,롯데카드,정상,46.65444512746073,
66759186,렌탈,Normal,서비스 방문,2019-10-22,60,카드이체,K1,96900,계약확정,0,없음,1.0,롯데카드,정상,46.464613232888105,
66545279,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K2,90900,계약확정,0,없음,3.0,부산은행,정상,46.540545990717156,
66758418,렌탈,Promotion,서비스 방문,2019-10-22,60,CMS,K1,111900,계약확정,0,없음,5.0,신한은행,정상,46.58372984567584,
66423916,멤버십,TAS,렌탈재계약,2019-10-22,12,CMS,K1,66900,해약확정,0,없음,5.0,우리은행,해약,47.095811823008184,
66759153,렌탈,Promotion,영업방판,2019-10-22,39,카드이체,K5,120900,계약확정,0,없음,6.0,롯데카드,정상,46.8072976133879,
66745358,렌탈,Promotion,홈쇼핑/방송,2019-10-22,60,카드이체,K1,105900,계약확정,0,없음,7.0,롯데카드,정상,46.65966260350489,
66759593,렌탈,Package,렌탈총판,2019-10-22,60,카드이체,K1,134700,계약확정,0,없음,2.0,롯데카드,정상,46.45309238079852,
66758605,렌탈,Package,홈쇼핑/방송,2019-10-22,60,카드이체,K1,81900,계약확정,0,없음,1.0,롯데카드,정상,46.48280706781609,
66759509,렌탈,Package,홈쇼핑/방송,2019-10-22,60,CMS,K2,81900,계약확정,0,없음,9.0,신한은행,정상,46.75742796324752,
66212579,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,5.0,국민은행,정상,46.601923680603825,
66254712,렌탈,Extension_Rental,서비스 방문,2019-10-22,60,CMS,K1,84900,계약확정,0,없음,1.0,기업은행,정상,46.479168300830494,
66759061,렌탈,Normal,서비스 방문,2019-10-22,60,CMS,K1,96900,계약확정,0,없음,2.0,신한은행,정상,46.498940844817035,
